idx,cartmass,polemass,polelength,outcome,success,steps,duration_s,reached_upright,time_to_upright_s,longest_balance_steps,longest_balance_s,peak_theta_dev_deg,peak_abs_x_m,control_effort,mean_infer_ms,n_errors,theta0_deg
145,0.35,0.19,0.12,timeout,0,1000,25.0,0,,0,0.0,179.95,0.162,16.63,8.91,0,197.19
146,0.35,0.19,0.16,timeout,0,1000,25.0,0,,0,0.0,179.94,0.196,128.98,8.91,0,197.19
147,0.35,0.19,0.2,timeout,0,1000,25.0,1,20.35,184,4.6,179.74,0.255,114.031,8.91,0,197.19
148,0.35,0.19,0.24,timeout,0,1000,25.0,1,20.175,191,4.775,179.65,0.358,132.491,8.92,0,197.19
149,0.35,0.19,0.28,timeout,0,1000,25.0,0,,0,0.0,179.46,0.359,163.116,8.91,0,197.19
150,0.35,0.19,0.32,timeout,0,1000,25.0,0,,0,0.0,179.79,0.416,136.282,8.91,0,197.19
151,0.35,0.19,0.36,timeout,0,1000,25.0,0,,0,0.0,179.89,0.56,128.771,8.91,0,197.19
152,0.35,0.21,0.08,timeout,0,1000,25.0,0,,0,0.0,179.95,0.16,3.106,8.9,0,197.19
153,0.35,0.21,0.12,timeout,0,1000,25.0,0,,0,0.0,179.75,0.178,15.816,8.91,0,197.19
154,0.35,0.21,0.16,timeout,0,1000,25.0,1,20.85,162,4.05,179.35,0.203,92.728,8.9,0,197.19
155,0.35,0.21,0.2,timeout,0,1000,25.0,1,17.4,301,7.525,180.0,0.254,85.676,8.92,0,197.19
156,0.35,0.21,0.24,timeout,0,1000,25.0,0,,0,0.0,179.68,0.341,179.241,8.91,0,197.19
157,0.35,0.21,0.28,timeout,0,1000,25.0,0,,0,0.0,179.93,0.344,131.242,8.92,0,197.19
158,0.35,0.21,0.32,timeout,0,1000,25.0,0,,0,0.0,179.95,0.438,134.713,8.9,0,197.19
159,0.35,0.21,0.36,timeout,0,1000,25.0,0,,0,0.0,179.65,0.568,123.036,8.91,0,197.19
160,0.35,0.23,0.08,timeout,0,1000,25.0,0,,0,0.0,179.99,0.167,3.499,8.91,0,197.19
161,0.35,0.23,0.12,timeout,0,1000,25.0,0,,0,0.0,179.93,0.194,19.345,8.91,0,197.19
162,0.35,0.23,0.16,timeout,0,1000,25.0,1,19.625,211,5.275,179.61,0.202,85.777,8.92,0,197.19
163,0.35,0.23,0.2,timeout,0,1000,25.0,1,16.075,353,8.825,179.97,0.339,80.022,8.93,0,197.19
164,0.35,0.23,0.24,timeout,0,1000,25.0,0,,0,0.0,179.86,0.568,132.949,8.91,0,197.19
165,0.35,0.23,0.28,timeout,0,1000,25.0,0,,0,0.0,179.85,0.358,117.822,8.91,0,197.19
166,0.35,0.23,0.32,timeout,0,1000,25.0,0,,0,0.0,179.77,0.465,130.808,8.91,0,197.19
