idx,cartmass,polemass,polelength,outcome,success,steps,duration_s,reached_upright,time_to_upright_s,longest_balance_steps,longest_balance_s,peak_theta_dev_deg,peak_abs_x_m,control_effort,mean_infer_ms,n_errors,theta0_deg
95,0.35,0.05,0.36,timeout,0,1000,25.0,0,,0,0.0,179.93,0.342,71.476,14.58,0,197.19
96,0.35,0.07,0.08,out_of_bounds,0,536,13.4,1,11.375,0,0.0,179.76,4.003,121.394,15.55,0,197.19
97,0.35,0.07,0.12,success,1,792,19.8,1,6.575,500,12.5,179.55,0.266,10.241,14.8,0,197.19
98,0.35,0.07,0.16,success,1,764,19.1,1,6.525,500,12.5,179.62,0.116,9.912,13.98,0,197.19
99,0.35,0.07,0.2,success,1,839,20.975,1,8.375,500,12.5,179.74,0.154,17.78,15.8,0,197.19
100,0.35,0.07,0.24,timeout,0,1000,25.0,0,,0,0.0,179.83,0.329,122.902,14.79,0,197.19
101,0.35,0.07,0.28,timeout,0,1000,25.0,0,,0,0.0,179.99,0.307,103.928,14.46,0,197.19
102,0.35,0.07,0.32,timeout,0,1000,25.0,0,,0,0.0,179.8,0.301,73.964,14.92,0,197.19
103,0.35,0.07,0.36,timeout,0,1000,25.0,0,,0,0.0,179.48,0.347,80.667,14.58,0,197.19
104,0.35,0.09,0.08,timeout,0,1000,25.0,0,,0,0.0,179.97,0.132,1.698,14.27,0,197.19
105,0.35,0.09,0.12,out_of_bounds,0,437,10.925,1,8.0,0,0.0,179.57,4.002,215.782,16.27,0,197.19
106,0.35,0.09,0.16,success,1,812,20.3,1,7.725,500,12.5,179.42,0.124,12.438,15.64,0,197.19
107,0.35,0.09,0.2,timeout,0,1000,25.0,0,,0,0.0,179.72,0.338,127.095,15.5,0,197.19
108,0.35,0.09,0.24,timeout,0,1000,25.0,0,,0,0.0,179.45,0.334,140.558,16.51,0,197.19
109,0.35,0.09,0.28,timeout,0,1000,25.0,0,,0,0.0,179.86,0.354,129.785,15.81,0,197.19
110,0.35,0.09,0.32,timeout,0,1000,25.0,0,,0,0.0,179.87,0.352,119.33,16.96,0,197.19
111,0.35,0.09,0.36,timeout,0,1000,25.0,0,,0,0.0,179.74,0.382,117.337,15.38,0,197.19
112,0.35,0.11,0.08,timeout,0,1000,25.0,0,,0,0.0,179.95,0.138,1.685,16.37,0,197.19
113,0.35,0.11,0.12,success,1,890,22.25,1,9.4,500,12.5,179.88,0.175,9.37,15.85,0,197.19
114,0.35,0.11,0.16,success,1,858,21.45,1,8.85,500,12.5,179.26,0.13,14.643,15.44,0,197.19
115,0.35,0.11,0.2,timeout,0,1000,25.0,0,,0,0.0,179.77,0.337,147.348,16.82,0,197.19
116,0.35,0.11,0.24,timeout,0,1000,25.0,0,,0,0.0,179.76,0.34,157.225,16.44,0,197.19
117,0.35,0.11,0.28,timeout,0,1000,25.0,0,,0,0.0,179.89,0.429,150.889,17.84,0,197.19
118,0.35,0.11,0.32,timeout,0,1000,25.0,0,,0,0.0,179.87,0.487,141.492,17.34,0,197.19
119,0.35,0.11,0.36,timeout,0,1000,25.0,0,,0,0.0,179.93,0.427,133.232,16.71,0,197.19
120,0.35,0.13,0.08,timeout,0,1000,25.0,0,,0,0.0,179.95,0.141,1.866,15.93,0,197.19
121,0.35,0.13,0.12,timeout,0,1000,25.0,1,12.425,481,12.025,179.96,0.215,11.824,15.57,0,197.19
122,0.35,0.13,0.16,success,1,912,22.8,1,9.95,500,12.5,179.8,0.17,17.521,15.73,0,197.19
123,0.35,0.13,0.2,timeout,0,1000,25.0,0,,0,0.0,179.58,0.316,157.816,17.87,0,197.19
124,0.35,0.13,0.24,timeout,0,1000,25.0,1,21.975,43,1.075,179.91,0.516,141.197,16.54,0,197.19
125,0.35,0.13,0.28,timeout,0,1000,25.0,0,,0,0.0,179.94,0.523,154.351,17.12,0,197.19
126,0.35,0.13,0.32,timeout,0,1000,25.0,0,,0,0.0,179.77,0.449,151.153,17.8,0,197.19
127,0.35,0.13,0.36,timeout,0,1000,25.0,0,,0,0.0,179.83,0.549,135.266,16.91,0,197.19
128,0.35,0.15,0.08,timeout,0,1000,25.0,0,,0,0.0,179.99,0.145,2.117,16.22,0,197.19
129,0.35,0.15,0.12,timeout,0,1000,25.0,1,16.825,323,8.075,179.81,0.122,13.487,16.97,0,197.19
130,0.35,0.15,0.16,success,1,977,24.425,1,11.825,500,12.5,179.66,0.137,22.205,16.97,0,197.19
131,0.35,0.15,0.2,timeout,0,1000,25.0,1,17.3,296,7.4,179.33,0.32,81.905,15.85,0,197.19
132,0.35,0.15,0.24,timeout,0,1000,25.0,1,17.8,286,7.15,179.98,0.364,105.455,16.35,0,197.19
133,0.35,0.15,0.28,timeout,0,1000,25.0,0,,0,0.0,179.77,0.468,165.072,16.06,0,197.19
134,0.35,0.15,0.32,timeout,0,1000,25.0,0,,0,0.0,179.97,0.423,154.989,17.05,0,197.19
135,0.35,0.15,0.36,timeout,0,1000,25.0,0,,0,0.0,179.98,0.47,132.375,16.79,0,197.19
136,0.35,0.17,0.08,timeout,0,1000,25.0,0,,0,0.0,179.86,0.149,2.404,16.53,0,197.19
137,0.35,0.17,0.12,timeout,0,1000,25.0,1,22.65,90,2.25,179.95,0.144,17.956,17.12,0,197.19
138,0.35,0.17,0.16,timeout,0,1000,25.0,1,13.7,438,10.95,179.94,0.208,29.054,17.82,0,197.19
139,0.35,0.17,0.2,timeout,0,1000,25.0,1,21.875,113,2.825,179.44,0.274,127.632,16.49,0,197.19
140,0.35,0.17,0.24,timeout,0,1000,25.0,1,18.8,150,3.75,179.88,0.676,127.404,16.35,0,197.19
141,0.35,0.17,0.28,timeout,0,1000,25.0,0,,0,0.0,179.89,0.388,172.261,16.3,0,197.19
142,0.35,0.17,0.32,timeout,0,1000,25.0,0,,0,0.0,179.88,0.454,146.538,16.25,0,197.19
143,0.35,0.17,0.36,timeout,0,1000,25.0,0,,0,0.0,179.81,0.508,128.593,16.9,0,197.19
144,0.35,0.19,0.08,timeout,0,1000,25.0,0,,0,0.0,179.96,0.154,2.737,16.45,0,197.19
145,0.35,0.19,0.12,timeout,0,1000,25.0,0,,0,0.0,179.86,0.162,16.63,17.24,0,197.19
146,0.35,0.19,0.16,timeout,0,1000,25.0,0,,0,0.0,179.94,0.193,128.88,16.88,0,197.19
147,0.35,0.19,0.2,timeout,0,1000,25.0,1,20.35,184,4.6,179.74,0.255,114.081,15.14,0,197.19
148,0.35,0.19,0.24,timeout,0,1000,25.0,1,20.175,191,4.775,179.64,0.358,132.498,15.54,0,197.19
149,0.35,0.19,0.28,timeout,0,1000,25.0,0,,0,0.0,179.46,0.359,163.115,15.75,0,197.19
150,0.35,0.19,0.32,timeout,0,1000,25.0,0,,0,0.0,179.79,0.416,136.282,15.49,0,197.19
151,0.35,0.19,0.36,timeout,0,1000,25.0,0,,0,0.0,179.88,0.56,128.771,14.87,0,197.19
152,0.35,0.21,0.08,timeout,0,1000,25.0,0,,0,0.0,179.95,0.16,3.106,15.45,0,197.19
153,0.35,0.21,0.12,timeout,0,1000,25.0,0,,0,0.0,179.73,0.178,15.816,15.47,0,197.19
154,0.35,0.21,0.16,timeout,0,1000,25.0,1,20.85,156,3.9,179.35,0.203,93.092,15.32,0,197.19
155,0.35,0.21,0.2,timeout,0,1000,25.0,1,17.4,301,7.525,180.0,0.254,85.665,15.31,0,197.19
156,0.35,0.21,0.24,timeout,0,1000,25.0,0,,0,0.0,179.68,0.341,178.996,15.44,0,197.19
157,0.35,0.21,0.28,timeout,0,1000,25.0,0,,0,0.0,179.93,0.344,131.243,14.79,0,197.19
158,0.35,0.21,0.32,timeout,0,1000,25.0,0,,0,0.0,179.94,0.438,134.713,14.34,0,197.19
159,0.35,0.21,0.36,timeout,0,1000,25.0,0,,0,0.0,179.65,0.568,123.035,14.4,0,197.19
160,0.35,0.23,0.08,timeout,0,1000,25.0,0,,0,0.0,179.99,0.167,3.499,15.77,0,197.19
161,0.35,0.23,0.12,timeout,0,1000,25.0,0,,0,0.0,179.93,0.194,19.344,15.38,0,197.19
162,0.35,0.23,0.16,timeout,0,1000,25.0,1,19.625,211,5.275,179.61,0.202,85.767,14.51,0,197.19
163,0.35,0.23,0.2,timeout,0,1000,25.0,1,16.075,353,8.825,179.97,0.339,80.023,15.98,0,197.19
164,0.35,0.23,0.24,timeout,0,1000,25.0,0,,0,0.0,179.86,0.568,132.946,14.9,0,197.19
165,0.35,0.23,0.28,timeout,0,1000,25.0,0,,0,0.0,179.86,0.358,117.823,14.96,0,197.19
166,0.35,0.23,0.32,timeout,0,1000,25.0,0,,0,0.0,179.77,0.465,130.808,15.56,0,197.19
167,0.35,0.23,0.36,timeout,0,1000,25.0,0,,0,0.0,179.99,0.576,120.272,15.64,0,197.19
168,0.35,0.25,0.08,timeout,0,1000,25.0,0,,0,0.0,179.89,0.174,3.898,14.31,0,197.19
169,0.35,0.25,0.12,timeout,0,1000,25.0,1,22.325,103,2.575,179.94,0.211,26.392,15.54,0,197.19
